source_name,source_id,target_name,target_id,number_of_potential_synapses_mean,number_of_potential_synapses_stdev
"DG AIPRIM (i)2333",1027,"DG Mossy MOLDEN (e)2323",1043,0.05866328492039776,0.006557342520420112
"DG AIPRIM (i)2333",1027,"DG AIPRIM (i)2333",1027,0.039475857060613906,0.011577696759611266
"DG AIPRIM (i)2333",1027,"DG Axo-Axonic (i)2233",1010,0.03478231574827392,0.0026881141134344855
"DG AIPRIM (i)2333",1027,"DG Basket (i)2232",1035,0.028418601643587817,0.00578932012323022
"DG AIPRIM (i)2333",1027,"DG Basket CCK+ (i)2232",1036,0.06351739255301009,0.005396558915801931
"DG AIPRIM (i)2333",1027,"DG HICAP (i)2322",1009,0.024166570252907506,0.004146526643315643
"DG AIPRIM (i)2333",1027,"DG HIPP (i)1002",1013,0.03272923734735175,0.004978024007167482
"DG AIPRIM (i)2333",1027,"DG HIPROM (i)1333p",1026,0.04992199374085411,0.005135294975466009
"DG AIPRIM (i)2333",1027,"DG MOCAP (i)0331",1040,0.010167435415621944,0.000721952148927471
"DG AIPRIM (i)2333",1027,"DG MOLAX (i)3302",1005,0.026889133719043737,0.008054127686946971
"DG AIPRIM (i)2333",1027,"DG Outer Molecular Layer (i)3222",1006,0.017432392369299984,0.006556584764571352
"DG AIPRIM (i)2333",1027,"DG Total Molecular Layer (i)3303",1004,0.024025678585549944,0.0025611371136199414
"DG HICAP (i)2322",1009,"DG Granule (e)2201p",1000,0.010079130505372876,0.0010915509989663297
"DG HICAP (i)2322",1009,"DG Hilar Ectopic Granule (e)2203p",1041,0.011538629141702493,0.0005951384431474258
"DG HICAP (i)2322",1009,"DG Semilunar Granule (e)2311p",1001,0.00904065571863195,0.003090997377954246
"DG HICAP (i)2322",1009,"DG Mossy MOLDEN (e)2323",1043,0.005873849242701219,0.0003029609020840842
"DG HICAP (i)2322",1009,"DG AIPRIM (i)2333",1027,0.005422636105118715,0.001132844395014717
"DG HICAP (i)2322",1009,"DG Axo-Axonic (i)2233",1010,0.010125581616612693,0.0005222563967753915
"DG HICAP (i)2322",1009,"DG Basket (i)2232",1035,0.00782613358087936,0.0019589154364037203
"DG HICAP (i)2322",1009,"DG Basket CCK+ (i)2232",1036,0.01481598978695894,0.0007641778747902368
"DG HICAP (i)2322",1009,"DG HICAP (i)2322",1009,0.006655518365890998,0.0023659759874226157
"DG HICAP (i)2322",1009,"DG HIPROM (i)1333p",1026,0.009180087738592925,0.0017249632119813662
"DG HICAP (i)2322",1009,"DG MOCAP (i)0331",1040,0.005888248824898091,0.0003037036025232245
"DG HICAP (i)2322",1009,"DG MOLAX (i)3302",1005,0.008220063134640423,0.002524546794776056
"DG HICAP (i)2322",1009,"DG Outer Molecular Layer (i)3222",1006,0.0035490248940799525,0.0004227266652207734
"DG HICAP (i)2322",1009,"DG Total Molecular Layer (i)3303",1004,0.004048957929532567,0.00020883681145816713
"DG HIPP (i)1002",1013,"DG Granule (e)2201p",1000,0.025216822883546514,0.0031503550211538457
"DG HIPP (i)1002",1013,"DG Hilar Ectopic Granule (e)2203p",1041,0.02520036913406389,0.002679521923827798
"DG HIPP (i)1002",1013,"DG Semilunar Granule (e)2311p",1001,0.03579997133753206,0.00880240447151576
"DG HIPP (i)1002",1013,"DG Mossy MOLDEN (e)2323",1043,0.008018299269929419,0.0008525751575815721
"DG HIPP (i)1002",1013,"DG AIPRIM (i)2333",1027,0.010222915572213248,0.0035934506970860527
"DG HIPP (i)1002",1013,"DG Axo-Axonic (i)2233",1010,0.06589168282627551,0.007006175496542837
"DG HIPP (i)1002",1013,"DG Basket (i)2232",1035,0.03537571029035227,0.022318180169655664
"DG HIPP (i)1002",1013,"DG Basket CCK+ (i)2232",1036,0.04066685642205306,0.004324053063522565
"DG HIPP (i)1002",1013,"DG HICAP (i)2322",1009,0.012922093613753648,0.00525306619183017
"DG HIPP (i)1002",1013,"DG MOLAX (i)3302",1005,0.009494371836637596,0.005046414481271262
"DG HIPP (i)1002",1013,"DG MOPP (i)3000",1008,0.02529961279044551,0.017421798577497115
"DG HIPP (i)1002",1013,"DG Neurogliaform (i)3000p",1007,0.010859921366662717,0.0011547210772275714
"DG HIPP (i)1002",1013,"DG Outer Molecular Layer (i)3222",1006,0.005209175189708182,0.001009376114058813
"DG HIPP (i)1002",1013,"DG Total Molecular Layer (i)3303",1004,0.005813124582482152,0.0006181018492958616
"DG HIPROM (i)1333p",1026,"DG Granule (e)2201p",1000,0.0175699361604348,0.0025176539642913077
"DG HIPROM (i)1333p",1026,"DG Hilar Ectopic Granule (e)2203p",1041,0.053563259545814694,0.003268593206315207
"DG HIPROM (i)1333p",1026,"DG Semilunar Granule (e)2311p",1001,0.021235452719729746,0.004975351338854609
"DG HIPROM (i)1333p",1026,"DG Mossy (e)0103",1002,0.06771752507618488,0.006250682067856059
"DG HIPROM (i)1333p",1026,"DG Mossy MOLDEN (e)2323",1043,0.08616854352989736,0.004775555887771224
"DG HIPROM (i)1333p",1026,"DG AIPRIM (i)2333",1027,0.05787742847312003,0.017073355476522237
"DG HIPROM (i)1333p",1026,"DG Axo-Axonic (i)2233",1010,0.06710442193088481,0.005657635731926642
"DG HIPROM (i)1333p",1026,"DG Basket (i)2232",1035,0.04775299337713644,0.01220900648997211
"DG HIPROM (i)1333p",1026,"DG Basket CCK+ (i)2232",1036,0.09460730457149705,0.005171346555239016
"DG HIPROM (i)1333p",1026,"DG HICAP (i)2322",1009,0.03349248406709552,0.004344428323076139
"DG HIPROM (i)1333p",1026,"DG HIPP (i)1002",1013,0.05087242242135581,0.004706674810599979
"DG HIPROM (i)1333p",1026,"DG HIPROM (i)1333p",1026,0.06452539294580073,0.0036644789677686145
"DG HIPROM (i)1333p",1026,"DG MOCAP (i)0331",1040,0.007463229928265439,0.0006846722105543146
"DG HIPROM (i)1333p",1026,"DG MOLAX (i)3302",1005,0.03420349930424507,0.011286746057701517
"DG HIPROM (i)1333p",1026,"DG MOPP (i)3000",1008,0.010509989664337563,0.007430198938238492
"DG HIPROM (i)1333p",1026,"DG Neurogliaform (i)3000p",1007,0.00451143905895067,0.0008667304200971482
"DG HIPROM (i)1333p",1026,"DG Outer Molecular Layer (i)3222",1006,0.024204291533831555,0.00996175231709886
"DG HIPROM (i)1333p",1026,"DG Total Molecular Layer (i)3303",1004,0.03407693466119001,0.001931557830725104
"DG MOCAP (i)0331",1040,"DG Granule (e)2201p",1000,0.006658959030591339,0.0006341134716666845
"DG MOCAP (i)0331",1040,"DG Hilar Ectopic Granule (e)2203p",1041,0.018952924684273592,N/A
"DG MOCAP (i)0331",1040,"DG Semilunar Granule (e)2311p",1001,0.0059728719662831995,0.002018752226525745
"DG MOCAP (i)0331",1040,"DG Mossy (e)0103",1002,0.021937596535063136,0.0014796973524244072
"DG MOCAP (i)0331",1040,"DG Mossy MOLDEN (e)2323",1043,0.03449502317890516,N/A
"DG MOCAP (i)0331",1040,"DG AIPRIM (i)2333",1027,0.025656466962390285,0.005550214557888426
"DG MOCAP (i)0331",1040,"DG Axo-Axonic (i)2233",1010,0.02337715176099838,N/A
"DG MOCAP (i)0331",1040,"DG Basket (i)2232",1035,0.020719874879664302,0.004016489138085511
"DG MOCAP (i)0331",1040,"DG Basket CCK+ (i)2232",1036,0.04272251108297849,N/A
"DG MOCAP (i)0331",1040,"DG HICAP (i)2322",1009,0.01693631096849197,0.0024620563519161475
"DG MOCAP (i)0331",1040,"DG HIPP (i)1002",1013,0.016480500085988652,0.0011164349264842775
"DG MOCAP (i)0331",1040,"DG HIPROM (i)1333p",1026,0.03427173186064964,0.0018366313439975575
"DG MOCAP (i)0331",1040,"DG MOCAP (i)0331",1040,0.008831698398730596,N/A
"DG MOCAP (i)0331",1040,"DG MOLAX (i)3302",1005,0.013359114987381904,0.003860474553372116
"DG MOCAP (i)0331",1040,"DG Outer Molecular Layer (i)3222",1006,0.012436759172524216,0.0032643757623859733
"DG MOCAP (i)0331",1040,"DG Total Molecular Layer (i)3303",1004,0.012008919170519852,N/A
"DG MOLAX (i)3302",1005,"DG Granule (e)2201p",1000,0.017630568187902443,0.004009365288799946
"DG MOLAX (i)3302",1005,"DG Hilar Ectopic Granule (e)2203p",1041,0.01842379978174959,0.003983945700403626
"DG MOLAX (i)3302",1005,"DG Semilunar Granule (e)2311p",1001,0.022137942925499254,0.006713623017541455
"DG MOLAX (i)3302",1005,"DG Mossy MOLDEN (e)2323",1043,0.007071062470443854,0.001444688298362221
"DG MOLAX (i)3302",1005,"DG AIPRIM (i)2333",1027,0.00788108185462444,0.0024179491724202074
"DG MOLAX (i)3302",1005,"DG Axo-Axonic (i)2233",1010,0.03717034000196978,0.009489949400091994
"DG MOLAX (i)3302",1005,"DG Basket (i)2232",1035,0.02126774159851778,0.011797538618417812
"DG MOLAX (i)3302",1005,"DG Basket CCK+ (i)2232",1036,0.027642999455188732,0.006198935489266459
"DG MOLAX (i)3302",1005,"DG HICAP (i)2322",1009,0.009852781118800209,0.0034573965462176906
"DG MOLAX (i)3302",1005,"DG HIPROM (i)1333p",1026,0.005038992208886382,0.0016595707599484138
"DG MOLAX (i)3302",1005,"DG MOCAP (i)0331",1040,0.0032320867509697325,0.0008899778099980283
"DG MOLAX (i)3302",1005,"DG MOLAX (i)3302",1005,0.009067074363247773,0.0032951404905598508
"DG MOLAX (i)3302",1005,"DG MOPP (i)3000",1008,0.01213780678325549,0.009007081306936364
"DG MOLAX (i)3302",1005,"DG Neurogliaform (i)3000p",1007,0.005210183583508464,0.0015436107337147636
"DG MOLAX (i)3302",1005,"DG Outer Molecular Layer (i)3222",1006,0.0044472432005928444,0.0010215717945654447
"DG MOLAX (i)3302",1005,"DG Total Molecular Layer (i)3303",1004,0.005011411035313153,0.0010282198676768222
"DG MOPP (i)3000",1008,"DG Granule (e)2201p",1000,0.038409855747552554,0.01697682571438211
"DG MOPP (i)3000",1008,"DG Hilar Ectopic Granule (e)2203p",1041,0.03838479366312374,0.016777909621035047
"DG MOPP (i)3000",1008,"DG Semilunar Granule (e)2311p",1001,0.054529935876193585,0.026725478190507836
"DG MOPP (i)3000",1008,"DG Mossy MOLDEN (e)2323",1043,0.012213343438266645,0.005338425788511152
"DG MOPP (i)3000",1008,"DG AIPRIM (i)2333",1027,0.01557137924398569,0.008575682613201479
"DG MOPP (i)3000",1008,"DG Axo-Axonic (i)2233",1010,0.10036514290513913,0.04386938514098176
"DG MOPP (i)3000",1008,"DG Basket (i)2232",1035,0.05388370832815009,0.040957674409447475
"DG MOPP (i)3000",1008,"DG Basket CCK+ (i)2232",1036,0.06194309632466306,0.02707519235099333
"DG MOPP (i)3000",1008,"DG HICAP (i)2322",1009,0.01968272347205552,0.01156107887700678
"DG MOPP (i)3000",1008,"DG MOLAX (i)3302",1005,0.014461673238654526,0.009832432139192583
"DG MOPP (i)3000",1008,"DG MOPP (i)3000",1008,0.03853595999137538,0.031162825218880176
"DG MOPP (i)3000",1008,"DG Neurogliaform (i)3000p",1007,0.016541656141600882,0.007230321834259231
"DG MOPP (i)3000",1008,"DG Outer Molecular Layer (i)3222",1006,0.007934531186756745,0.003698675568355364
"DG MOPP (i)3000",1008,"DG Total Molecular Layer (i)3303",1004,0.008854457109320374,0.00387026389739928
"DG Neurogliaform (i)3000p",1007,"DG Granule (e)2201p",1000,0.004102736006151653,0.0002690934794823375
"DG Neurogliaform (i)3000p",1007,"DG Hilar Ectopic Granule (e)2203p",1041,0.004100059007913203,N/A
"DG Neurogliaform (i)3000p",1007,"DG Semilunar Granule (e)2311p",1001,0.0058245970201712,0.0012913003697403258
"DG Neurogliaform (i)3000p",1007,"DG Mossy MOLDEN (e)2323",1043,0.0013045642297905646,N/A
"DG Neurogliaform (i)3000p",1007,"DG AIPRIM (i)2333",1027,0.0016632517109573712,0.0005572589652622911
"DG Neurogliaform (i)3000p",1007,"DG Axo-Axonic (i)2233",1010,0.010720469461427443,N/A
"DG Neurogliaform (i)3000p",1007,"DG Basket (i)2232",1035,0.005755570438896052,0.003579189040707447
"DG Neurogliaform (i)3000p",1007,"DG Basket CCK+ (i)2232",1036,0.0066164312954991675,N/A
"DG Neurogliaform (i)3000p",1007,"DG HICAP (i)2322",1009,0.0021024035814837445,0.0008249121619327085
"DG Neurogliaform (i)3000p",1007,"DG MOLAX (i)3302",1005,0.0015447188319421986,0.0008044469618240938
"DG Neurogliaform (i)3000p",1007,"DG MOPP (i)3000",1008,0.004116205789143312,0.0028005043595216977
"DG Neurogliaform (i)3000p",1007,"DG Neurogliaform (i)3000p",1007,0.0017668915160622529,N/A
"DG Neurogliaform (i)3000p",1007,"DG Outer Molecular Layer (i)3222",1006,0.0008475243178676708,0.00013729003635562485
"DG Neurogliaform (i)3000p",1007,"DG Total Molecular Layer (i)3303",1004,0.0009457859002672497,N/A
"DG Outer Molecular Layer (i)3222",1006,"DG Granule (e)2201p",1000,0.005856779663812308,0.0008890713679941543
"DG Outer Molecular Layer (i)3222",1006,"DG Hilar Ectopic Granule (e)2203p",1041,0.005852958167908231,0.0008012779717419978
"DG Outer Molecular Layer (i)3222",1006,"DG Semilunar Granule (e)2311p",1001,0.008314788308701986,0.002166507415904533
"DG Outer Molecular Layer (i)3222",1006,"DG Mossy MOLDEN (e)2323",1043,0.0018623048716071644,0.0002549520819179084
"DG Outer Molecular Layer (i)3222",1006,"DG AIPRIM (i)2333",1027,0.0023743420931617407,0.0008593512579303154
"DG Outer Molecular Layer (i)3222",1006,"DG Axo-Axonic (i)2233",1010,0.015303794208076147,0.002095110340996453
"DG Outer Molecular Layer (i)3222",1006,"DG Basket (i)2232",1035,0.008216250777437824,0.005231747783876274
"DG Outer Molecular Layer (i)3222",1006,"DG Basket CCK+ (i)2232",1036,0.009445155671821808,0.0012930547190651762
"DG Outer Molecular Layer (i)3222",1006,"DG HICAP (i)2322",1009,0.003001244662756155,0.0012472085240417038
"DG Outer Molecular Layer (i)3222",1006,"DG MOLAX (i)3302",1005,0.002205132825427168,0.0011873895900040453
"DG Outer Molecular Layer (i)3222",1006,"DG MOPP (i)3000",1008,0.005876008186189381,0.004077935158708706
"DG Outer Molecular Layer (i)3222",1006,"DG Neurogliaform (i)3000p",1007,0.002522291047710513,0.00034530509135259667
"DG Outer Molecular Layer (i)3222",1006,"DG Outer Molecular Layer (i)3222",1006,0.001209866582210284,0.0002566017802630064
"DG Outer Molecular Layer (i)3222",1006,"DG Total Molecular Layer (i)3303",1004,0.0013501379612775627,0.00018483573197499806
"DG Total Molecular Layer (i)3303",1004,"DG Granule (e)2201p",1000,0.021252043689164907,0.0011687904484116896
"DG Total Molecular Layer (i)3303",1004,"DG Hilar Ectopic Granule (e)2203p",1041,0.03630236445107366,N/A
"DG Total Molecular Layer (i)3303",1004,"DG Semilunar Granule (e)2311p",1001,0.02560363144165162,0.004746632816412493
"DG Total Molecular Layer (i)3303",1004,"DG Mossy (e)0103",1002,0.026707529755293634,0.00180143075407282
"DG Total Molecular Layer (i)3303",1004,"DG Mossy MOLDEN (e)2323",1043,0.0383791492604491,N/A
"DG Total Molecular Layer (i)3303",1004,"DG AIPRIM (i)2333",1027,0.027411081535772396,0.006874652532154851
"DG Total Molecular Layer (i)3303",1004,"DG Axo-Axonic (i)2233",1010,0.05226290973746803,N/A
"DG Total Molecular Layer (i)3303",1004,"DG Basket (i)2232",1035,0.032962553305463604,0.011381093113687332
"DG Total Molecular Layer (i)3303",1004,"DG Basket CCK+ (i)2232",1036,0.05579269262098531,N/A
"DG Total Molecular Layer (i)3303",1004,"DG HICAP (i)2322",1009,0.01975294745315679,0.0034033450076203617
"DG Total Molecular Layer (i)3303",1004,"DG HIPP (i)1002",1013,0.020063886475674694,0.0013591834899174423
"DG Total Molecular Layer (i)3303",1004,"DG HIPROM (i)1333p",1026,0.027677914594096492,0.0014382284199551383
"DG Total Molecular Layer (i)3303",1004,"DG MOCAP (i)0331",1040,0.005104854246869983,N/A
"DG Total Molecular Layer (i)3303",1004,"DG MOLAX (i)3302",1005,0.021490294061969395,0.005362610582712639
"DG Total Molecular Layer (i)3303",1004,"DG MOPP (i)3000",1008,0.012554962875876353,0.008541902438469322
"DG Total Molecular Layer (i)3303",1004,"DG Neurogliaform (i)3000p",1007,0.005389248868064824,N/A
"DG Total Molecular Layer (i)3303",1004,"DG Outer Molecular Layer (i)3222",1006,0.012096040390799638,0.003930217067227071
"DG Total Molecular Layer (i)3303",1004,"DG Total Molecular Layer (i)3303",1004,0.017758429723115143,N/A
"CA3 Pyramidal (e)23223p",2000,"CA3 Pyramidal (e)23223p",2000,0.034425636580902,0.010088031986942053
"CA3 Pyramidal (e)23223p",2000,"CA3c Pyramidal (e)03223p",2004,0.026378731806488944,N/A
"CA3 Pyramidal (e)23223p",2000,"CA3 Granule (e)22100",2001,0.0014052129260354825,0.00003993325619685416
"CA3 Pyramidal (e)23223p",2000,"CA3 Axo-Axonic (i)22232",2028,0.016266238153809738,N/A
"CA3 Pyramidal (e)23223p",2000,"CA3 Horizontal Axo-Axonic (i)00012",2047,0.013432105735865113,0.0037000527216367904
"CA3 Pyramidal (e)23223p",2000,"CA3 Basket (i)22232",2043,0.01340801205232994,N/A
"CA3 Pyramidal (e)23223p",2000,"CA3 Basket CCK+ (i)22232",2044,0.008933037050009874,N/A
"CA3 Pyramidal (e)23223p",2000,"CA3 Bistratified (i)03333",2045,0.014386937252639936,N/A
"CA3 Pyramidal (e)23223p",2000,"CA3 Interneuron Specific Oriens (i)01113",2021,0.02365828201147315,0.006768130903631375
"CA3 Pyramidal (e)23223p",2000,"CA3 Ivy (i)03333",2046,0.005843690864195663,0.00017475160259359542
"CA3 Pyramidal (e)23223p",2000,"CA3 LMR-Targeting (i)33200",2005,0.0012949784509551272,N/A
"CA3 Pyramidal (e)23223p",2000,"CA3 Lucidum ORAX (i)03311",2013,0.007030203853161692,0.0022559303957378203
"CA3 Pyramidal (e)23223p",2000,"CA3 Lucidum-Radiatum (i)03300",2014,0.0055734350606487446,0.0021069723213165627
"CA3 Pyramidal (e)23223p",2000,"CA3 Mossy Fiber-Associated (i)03330p",2036,0.008314895720264797,0.00013686484235941505
"CA3 Pyramidal (e)23223p",2000,"CA3 Mossy Fiber-Associated ORDEN (i)02332p",2035,0.014721937019612738,N/A
"CA3 Pyramidal (e)23223p",2000,"CA3 O-LM (i)11003",2009,0.02635220383132224,N/A
"CA3 Pyramidal (e)23223p",2000,"CA3 QuadD-LM (i)12222",2049,0.0065878858631000705,N/A
"CA3 Pyramidal (e)23223p",2000,"CA3 Radiatum (i)03000",2023,0.017580284083178178,0.012859406010073723
"CA3 Pyramidal (e)23223p",2000,"CA3 R-LM (i)12000",2008,0.012342671150253039,N/A
"CA3 Pyramidal (e)23223p",2000,"CA3 SO-SO (i)00003",2022,0.01173071710710441,N/A
"CA3 Pyramidal (e)23223p",2000,"CA3 Trilaminar (i)01113p",2020,0.0276791769040385,0.004039975551127276
